Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-N7MT-1226-SM-2D7W4_brain_female_60-69_years	4/3362	0.440427362027146329648275013823877088725566864013671875	0.95565512433056820640331352478824555873870849609375	0.344676709901763078658376571183907799422740936279296875	0.90740010531958592565615617786534130573272705078125	-0.9229609702061633	0.7568369908574539	CADPS2;ABCA5;RUSC1;SCAMP1
GTEX-XQ8I-1326-SM-4BOPV_blood vessel_male_50-59_years	1/596	0.45411822263337964233897992016864009201526641845703125	0.95565512433056820640331352478824555873870849609375	0.41453167611389807323263312355265952646732330322265625	0.90740010531958592565615617786534130573272705078125	-0.953254237003972	0.7524967141823147	RUSC1
GTEX-WL46-0011-R7A-SM-3LK7X_brain_male_50-59_years	2/1441	0.4278987128204068124404102491098456084728240966796875	0.95565512433056820640331352478824555873870849609375	0.3674301433455353649293328999192453920841217041015625	0.90740010531958592565615617786534130573272705078125	-0.8852460267881883	0.751457700326203	GABARAPL1;SCAMP1
GTEX-XPVG-2126-SM-4B667_skin_male_50-59_years	2/1482	0.44242912260014655156936669300193898379802703857421875	0.95565512433056820640331352478824555873870849609375	0.38087827794528994473921557073481380939483642578125	0.90740010531958592565615617786534130573272705078125	-0.9158564026406769	0.7468580020301369	ELOVL4;RARS
GTEX-R55E-0011-R4A-SM-2TC5H_brain_male_20-29_years	3/2423	0.443346636655391257431091389662469737231731414794921875	0.95565512433056820640331352478824555873870849609375	0.36359482000096010612111285809078253805637359619140625	0.90740010531958592565615617786534130573272705078125	-0.9176694527666206	0.7464353973377554	GABARAPL1;SCAMP1;CCDC28A
GTEX-PLZ5-0826-SM-3P5ZW_esophagus_male_50-59_years	1/606	0.459719977628601339514347046133480034768581390380859375	0.95565512433056820640331352478824555873870849609375	0.4198424353247547369250014526187442243099212646484375	0.90740010531958592565615617786534130573272705078125	-0.9599225584470847	0.74599202762709	CADPS2
GTEX-S4UY-0426-SM-3K2AF_blood vessel_female_40-49_years	1/574	0.441599517236421046373351373404148034751415252685546875	0.95565512433056820640331352478824555873870849609375	0.402686515213460716200444267087732441723346710205078125	0.90740010531958592565615617786534130573272705078125	-0.9089839621283244	0.7429597478216172	RAB3GAP1
GTEX-T8EM-0626-SM-4DM62_esophagus_male_40-49_years	1/600	0.456365513706441239261124565018690191209316253662109375	0.95565512433056820640331352478824555873870849609375	0.416661446872089558102203454836853779852390289306640625	0.90740010531958592565615617786534130573272705078125	-0.9428621125785853	0.7396387682202322	CADPS2
GTEX-POMQ-0626-SM-3P61E_esophagus_female_20-29_years	1/585	0.447892576655479268676884885280742309987545013427734375	0.95565512433056820640331352478824555873870849609375	0.408637008185031402884845874723396264016628265380859375	0.90740010531958592565615617786534130573272705078125	-0.9191073465797566	0.7382287299183697	CADPS2
GTEX-UJMC-1326-SM-4IHLS_colon_male_50-59_years	2/1527	0.458174053050703411482658111708587966859340667724609375	0.95565512433056820640331352478824555873870849609375	0.39553068513447353637957348837517201900482177734375	0.90740010531958592565615617786534130573272705078125	-0.9454183360911534	0.7379048148315314	ABCA5;SH3BGRL2
